FaultID,Latitude(WGS84),Longitude(WGS84),Strike,Dip,LengthKm,FrictionCoefficient
DEMO_TX_REEVES_NW_BRAVO_SEG_005,31.201633,-103.830240,317.3,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_006,31.208630,-103.837833,317.0,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_007,31.215883,-103.844982,322.8,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_008,31.223778,-103.851018,330.8,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_009,31.232264,-103.856031,335.5,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_010,31.240887,-103.860806,333.8,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_011,31.249102,-103.866291,326.7,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_012,31.256639,-103.872950,319.2,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_013,31.263691,-103.880452,316.3,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_014,31.270780,-103.887890,320.0,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_015,31.278403,-103.894403,327.8,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_016,31.286693,-103.899757,334.4,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_017,31.295331,-103.904509,335.3,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_018,31.303761,-103.909624,329.9,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_019,31.311566,-103.915822,321.8,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_020,31.318758,-103.923085,316.6,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_021,31.325763,-103.930673,317.8,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_022,31.333135,-103.937625,324.5,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_023,31.341179,-103.943411,332.3,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_024,31.349742,-103.948296,335.7,71,1.05,0.60
DEMO_TX_REEVES_NW_BRAVO_SEG_025,31.358319,-103.953158,332.6,71,1.05,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_001,31.048988,-103.709444,316.3,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_002,31.057112,-103.718186,318.3,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_003,31.065116,-103.727046,314.7,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_004,31.072347,-103.736664,307.8,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_005,31.078679,-103.747164,302.5,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_006,31.084596,-103.758071,302.2,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_007,31.090865,-103.768634,307.2,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_008,31.098013,-103.778337,314.2,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_009,31.105970,-103.787247,318.2,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_010,31.114116,-103.795973,316.7,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_011,31.121701,-103.805249,310.6,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_012,31.128358,-103.815436,304.1,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_013,31.134351,-103.826274,301.6,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_014,31.140394,-103.837064,304.8,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_015,31.147169,-103.847137,311.5,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_016,31.154859,-103.856314,317.2,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_017,31.163025,-103.865025,318.0,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_018,31.170904,-103.874017,313.4,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_019,31.177930,-103.883848,306.4,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_020,31.184114,-103.894505,301.9,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_021,31.190042,-103.905413,302.9,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_022,31.196473,-103.915828,308.7,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_023,31.203825,-103.925342,315.4,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_024,31.211888,-103.934158,318.4,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_CHARLIE_SEG_025,31.219970,-103.942957,315.7,63,1.22,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_001,31.224707,-103.661894,341.0,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_002,31.234206,-103.665479,343.2,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_003,31.243637,-103.669228,339.2,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_004,31.252625,-103.674038,331.6,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_005,31.261099,-103.680083,325.7,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_006,31.269335,-103.686698,325.4,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_007,31.277772,-103.692831,330.9,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_008,31.286713,-103.697757,338.6,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_009,31.296116,-103.701573,343.1,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_010,31.305627,-103.705131,341.4,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_011,31.314818,-103.709458,334.7,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_012,31.323478,-103.715060,327.5,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_013,31.331758,-103.721576,324.7,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_014,31.340066,-103.728023,328.2,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_015,31.348793,-103.733465,335.7,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_016,31.358044,-103.737651,342.0,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_017,31.367567,-103.741182,342.9,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_018,31.376926,-103.745108,337.7,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_019,31.385796,-103.750208,330.0,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_020,31.394185,-103.756465,325.1,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_021,31.402428,-103.763074,326.2,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_022,31.410958,-103.768992,332.6,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_023,31.420015,-103.773646,340.0,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_024,31.429479,-103.777322,343.3,69,1.10,0.60
DEMO_TX_REEVES_CENTRAL_DELTA_SEG_025,31.438954,-103.780972,340.3,69,1.10,0.60
DEMO_TX_WARD_ECHO_SEG_001,31.018392,-103.519600,310.7,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_002,31.025337,-103.528674,312.8,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_003,31.032152,-103.537851,309.0,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_004,31.038132,-103.547687,301.7,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_005,31.043137,-103.558289,296.0,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_006,31.047694,-103.569246,295.8,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_007,31.052631,-103.579904,301.1,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_008,31.058519,-103.589813,308.4,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_009,31.065284,-103.599033,312.7,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_010,31.072252,-103.608093,311.1,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_011,31.078614,-103.617631,304.7,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_012,31.083972,-103.627961,297.8,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_013,31.088610,-103.638858,295.1,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_014,31.093303,-103.649712,298.5,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_015,31.098788,-103.659944,305.6,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_016,31.105263,-103.669396,311.7,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_017,31.112254,-103.678442,312.5,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_018,31.118934,-103.687734,307.6,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_019,31.124690,-103.697754,300.2,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_020,31.129536,-103.708492,295.4,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_021,31.134104,-103.719450,296.5,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_022,31.139217,-103.729978,302.7,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_023,31.145326,-103.739723,309.8,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_024,31.152205,-103.748861,312.9,62,1.15,0.60
DEMO_TX_WARD_ECHO_SEG_025,31.159105,-103.757984,310.0,62,1.15,0.60
DEMO_TX_WARD_FOXTROT_SEG_001,31.218913,-103.457674,329.7,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_002,31.226860,-103.462842,332.1,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_003,31.234710,-103.468156,327.7,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_004,31.241939,-103.474399,319.4,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_005,31.248445,-103.481725,312.9,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_006,31.254617,-103.489550,312.5,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_007,31.261073,-103.496954,318.6,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_008,31.268235,-103.503299,327.1,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_009,31.276047,-103.508671,332.0,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_010,31.284010,-103.513817,330.2,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_011,31.291524,-103.519637,322.8,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_012,31.298291,-103.526576,314.8,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_013,31.304525,-103.534314,311.8,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_014,31.310799,-103.541993,315.7,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_015,31.317661,-103.548791,323.9,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_016,31.325258,-103.554488,330.8,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_017,31.333238,-103.559612,331.7,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_018,31.340988,-103.565081,326.1,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_019,31.348051,-103.571580,317.6,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_020,31.354439,-103.579092,312.2,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_021,31.360620,-103.586913,313.4,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_022,31.367206,-103.594128,320.5,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_023,31.374532,-103.600236,328.6,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_024,31.382429,-103.605487,332.2,68,1.00,0.60
DEMO_TX_WARD_FOXTROT_SEG_025,31.390341,-103.610715,328.9,68,1.00,0.60
DEMO_TX_LOVING_GOLF_SEG_001,31.644299,-103.728885,322.4,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_002,31.653032,-103.736490,324.5,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_003,31.661657,-103.744228,320.8,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_004,31.669581,-103.752819,313.8,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_005,31.676689,-103.762404,308.4,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_006,31.683420,-103.772447,308.1,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_007,31.690471,-103.782103,313.2,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_008,31.698319,-103.790790,320.2,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_009,31.706901,-103.798584,324.4,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_010,31.715654,-103.806170,322.8,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_011,31.723898,-103.814376,316.6,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_012,31.731302,-103.823607,310.0,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_013,31.738102,-103.833573,307.5,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_014,31.744948,-103.843483,310.7,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_015,31.752458,-103.852587,317.6,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_016,31.760797,-103.860680,323.3,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_017,31.769569,-103.868249,324.1,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_018,31.778080,-103.876135,319.4,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_019,31.785817,-103.884964,312.3,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_020,31.792791,-103.894724,307.8,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_021,31.799533,-103.904768,308.8,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_022,31.806731,-103.914256,314.7,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_023,31.814764,-103.922729,321.5,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_024,31.823442,-103.930415,324.5,70,1.20,0.60
DEMO_TX_LOVING_GOLF_SEG_025,31.832136,-103.938082,321.8,70,1.20,0.60
DEMO_TX_LOVING_HOTEL_SEG_001,31.534471,-103.612320,336.1,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_002,31.543513,-103.616766,338.4,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_003,31.552474,-103.621369,334.3,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_004,31.560916,-103.626987,326.6,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_005,31.568753,-103.633787,320.5,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_006,31.576310,-103.641132,320.2,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_007,31.584105,-103.648017,325.9,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_008,31.592490,-103.653746,333.7,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_009,31.601420,-103.658414,338.3,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_010,31.610476,-103.662834,336.6,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_011,31.619156,-103.667991,329.7,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_012,31.627212,-103.674368,322.3,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_013,31.634820,-103.681618,319.6,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_014,31.642463,-103.688803,323.1,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_015,31.650598,-103.695027,330.7,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_016,31.659348,-103.700048,337.2,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_017,31.668418,-103.704445,338.0,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_018,31.677295,-103.709218,332.8,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_019,31.685598,-103.715115,324.9,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_020,31.693336,-103.722118,319.9,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_021,31.700901,-103.729459,321.0,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_022,31.708805,-103.736138,327.6,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_023,31.717327,-103.741608,335.1,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_024,31.726328,-103.746143,338.5,73,1.08,0.60
DEMO_TX_LOVING_HOTEL_SEG_025,31.735342,-103.750653,335.4,73,1.08,0.60
DEMO_TX_WINKLER_INDIA_SEG_001,31.703513,-103.309292,313.9,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_002,31.710693,-103.317740,316.1,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_003,31.717748,-103.326299,312.1,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_004,31.723998,-103.335572,304.7,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_005,31.729310,-103.345677,298.8,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_006,31.734189,-103.356166,298.5,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_007,31.739435,-103.366330,304.0,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_008,31.745598,-103.375682,311.5,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_009,31.752604,-103.384288,315.9,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_010,31.759807,-103.392720,314.3,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_011,31.766426,-103.401671,307.7,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_012,31.772077,-103.411480,300.6,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_013,31.777035,-103.421903,297.9,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_014,31.782047,-103.432280,301.3,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_015,31.787820,-103.441982,308.7,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_016,31.794548,-103.450839,314.9,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_017,31.801772,-103.459256,315.7,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_018,31.808697,-103.467939,310.7,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_019,31.814732,-103.477412,303.1,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_020,31.819890,-103.487663,298.2,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_021,31.824781,-103.498151,299.3,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_022,31.830197,-103.508175,305.6,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_023,31.836571,-103.517349,312.9,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_024,31.843688,-103.525865,316.1,65,1.12,0.60
DEMO_TX_WINKLER_INDIA_SEG_025,31.850824,-103.534365,313.2,65,1.12,0.60
DEMO_TX_WINKLER_JULIET_SEG_001,31.594186,-103.251407,344.0,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_002,31.602638,-103.254014,346.5,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_003,31.611025,-103.256789,342.0,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_004,31.619003,-103.260646,333.3,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_005,31.626503,-103.265763,326.5,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_006,31.633782,-103.271461,326.2,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_007,31.641248,-103.276668,332.5,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_008,31.649182,-103.280643,341.3,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_009,31.657544,-103.283485,346.4,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_010,31.666007,-103.286063,344.5,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_011,31.674172,-103.289427,336.8,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_012,31.681845,-103.294091,328.5,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_013,31.689165,-103.299687,325.4,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_014,31.696511,-103.305212,329.4,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_015,31.704246,-103.309713,338.0,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_016,31.712467,-103.312931,345.2,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_017,31.720941,-103.315482,346.1,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_018,31.729262,-103.318435,340.3,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_019,31.737130,-103.322586,331.4,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_020,31.744552,-103.327917,325.8,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_021,31.751837,-103.333607,327.0,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_022,31.759390,-103.338592,334.4,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_023,31.767431,-103.342287,342.9,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_024,31.775850,-103.344984,346.6,72,0.96,0.60
DEMO_TX_WINKLER_JULIET_SEG_025,31.784279,-103.347655,343.2,72,0.96,0.60
DEMO_TX_CULBERSON_KILO_SEG_001,31.029368,-104.034095,321.2,64,1.24,0.60
DEMO_TX_CULBERSON_KILO_SEG_002,31.038241,-104.042124,323.2,64,1.24,0.60
DEMO_TX_CULBERSON_KILO_SEG_003,31.047003,-104.050282,319.6,64,1.24,0.60
DEMO_TX_CULBERSON_KILO_SEG_004,31.055052,-104.059274,312.9,64,1.24,0.60
DEMO_TX_CULBERSON_KILO_SEG_005,31.062271,-104.069237,307.6,64,1.24,0.60
DEMO_TX_CULBERSON_KILO_SEG_006,31.069106,-104.079647,307.3,64,1.24,0.60
DEMO_TX_CULBERSON_KILO_SEG_007,31.076267,-104.089679,312.3,64,1.24,0.60
DEMO_TX_CULBERSON_KILO_SEG_008,31.084239,-104.098763,319.1,64,1.24,0.60
DEMO_TX_CULBERSON_KILO_SEG_009,31.092958,-104.106977,323.1,64,1.24,0.60
DEMO_TX_CULBERSON_KILO_SEG_010,31.101850,-104.114988,321.6,64,1.24,0.60
DEMO_TX_CULBERSON_KILO_SEG_011,31.110226,-104.123604,315.6,64,1.24,0.60
DEMO_TX_CULBERSON_KILO_SEG_012,31.117745,-104.133221,309.2,64,1.24,0.60
DEMO_TX_CULBERSON_KILO_SEG_013,31.124651,-104.143556,306.8,64,1.24,0.60
DEMO_TX_CULBERSON_KILO_SEG_014,31.131603,-104.153836,309.9,64,1.24,0.60
DEMO_TX_CULBERSON_KILO_SEG_015,31.139231,-104.163329,316.5,64,1.24,0.60
DEMO_TX_CULBERSON_KILO_SEG_016,31.147703,-104.171835,322.1,64,1.24,0.60
DEMO_TX_CULBERSON_KILO_SEG_017,31.156614,-104.179829,322.9,64,1.24,0.60
DEMO_TX_CULBERSON_KILO_SEG_018,31.165261,-104.188133,318.3,64,1.24,0.60
DEMO_TX_CULBERSON_KILO_SEG_019,31.173120,-104.197359,311.5,64,1.24,0.60
