UniqueID/Name,Easting (km),Northing (km),Year,Month (1-12),InjectionVolume (bbl/month)
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2020,11,324000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2020,12,341000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2021,1,347200.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2021,2,302400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2021,3,322400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2021,4,294000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2021,5,291400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2021,6,270000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2021,7,272800.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2021,8,279000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2021,9,288000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2021,10,316200.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2021,11,324000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2021,12,341000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2022,1,347200.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2022,2,302400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2022,3,322400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2022,4,294000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2022,5,291400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2022,6,270000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2022,7,272800.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2022,8,279000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2022,9,288000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2022,10,316200.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2022,11,324000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2022,12,341000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2023,1,347200.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2023,2,302400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2023,3,322400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2023,4,294000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2023,5,291400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2023,6,270000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2023,7,272800.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2023,8,279000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2023,9,288000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2023,10,316200.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2023,11,324000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2023,12,341000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2024,1,347200.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2024,2,313200.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2024,3,322400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2024,4,294000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2024,5,291400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2024,6,270000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2024,7,272800.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2024,8,279000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2024,9,288000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2024,10,316200.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2024,11,324000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2024,12,341000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2025,1,347200.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2025,2,302400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2025,3,322400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2025,4,294000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2025,5,291400.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2025,6,270000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2025,7,272800.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2025,8,279000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2025,9,288000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2025,10,316200.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2025,11,324000.0
SYN_SWD_01,-0.021527132585378403,-0.02517525773293272,2025,12,341000.0
